countyID,LKType,LKName,probText
8225,LK,Neckar-Odenwald-Kreis,100.0
9775,LK,Neu-Ulm,100.0
9185,LK,Neuburg-Schrobenhausen,100.0
9373,LK,Neumarkt i.d.OPf.,100.0
1004,SK,Neumünster,99.9
10043,LK,Neunkirchen,100.0
9374,LK,Neustadt a.d.Waldnaab,100.0
7316,SK,Neustadt a.d.Weinstraße,100.0
9575,LK,Neustadt/Aisch-Bad Windsheim,-70.3
7138,LK,Neuwied,100.0
3256,LK,Nienburg (Weser),99.9
1054,LK,Nordfriesland,100.0
16062,LK,Nordhausen,89.60000000000002
14730,LK,Nordsachsen,100.0
13074,LK,Nordwestmecklenburg,100.0
3155,LK,Northeim,100.0
9564,SK,Nürnberg,100.0
9574,LK,Nürnberger Land,100.0
9780,LK,Oberallgäu,100.0
5374,LK,Oberbergischer Kreis,100.0
5119,SK,Oberhausen,100.0
12065,LK,Oberhavel,100.0
12066,LK,Oberspreewald-Lausitz,92.9
6437,LK,Odenwaldkreis,100.0
12067,LK,Oder-Spree,100.0
6438,LK,Offenbach,100.0
6413,SK,Offenbach,99.9
3458,LK,Oldenburg,100.0
3403,SK,Oldenburg,100.0
5966,LK,Olpe,100.0
8317,LK,Ortenaukreis,100.0
3459,LK,Osnabrück,100.0
3404,SK,Osnabrück,100.0
8136,LK,Ostalbkreis,100.0
9777,LK,Ostallgäu,100.0
3356,LK,Osterholz,99.7
1055,LK,Ostholstein,100.0
12068,LK,Ostprignitz-Ruppin,99.9
5774,LK,Paderborn,100.0
9262,SK,Passau,100.0
9275,LK,Passau,100.0
3157,LK,Peine,100.0
9186,LK,Pfaffenhofen a.d.Ilm,100.0
8231,SK,Pforzheim,100.0
1056,LK,Pinneberg,100.0
7317,SK,Pirmasens,99.9
1057,LK,Plön,99.9
12054,SK,Potsdam,100.0
12069,LK,Potsdam-Mittelmark,100.0
12070,LK,Prignitz,88.5
8216,LK,Rastatt,100.0
8436,LK,Ravensburg,100.0
5562,LK,Recklinghausen,100.0
9276,LK,Regen,100.0
9375,LK,Regensburg,100.0
9362,SK,Regensburg,100.0
8119,LK,Rems-Murr-Kreis,100.0
5120,SK,Remscheid,99.7
1058,LK,Rendsburg-Eckernförde,100.0
8415,LK,Reutlingen,100.0
5362,LK,Rhein-Erft-Kreis,100.0
7140,LK,Rhein-Hunsrück-Kreis,100.0
5162,LK,Rhein-Kreis Neuss,100.0
7141,LK,Rhein-Lahn-Kreis,100.0
8226,LK,Rhein-Neckar-Kreis,100.0
7338,LK,Rhein-Pfalz-Kreis,99.9
5382,LK,Rhein-Sieg-Kreis,100.0
6439,LK,Rheingau-Taunus-Kreis,100.0
5378,LK,Rheinisch-Bergischer Kreis,100.0
9673,LK,Rhön-Grabfeld,100.0
9163,SK,Rosenheim,100.0
9187,LK,Rosenheim,100.0
13072,LK,Rostock,95.1
13003,SK,Rostock,99.9
3357,LK,Rotenburg (Wümme),100.0
9576,LK,Roth,100.0
9277,LK,Rottal-Inn,100.0
8325,LK,Rottweil,99.8
16074,LK,Saale-Holzland-Kreis,100.0
16075,LK,Saale-Orla-Kreis,90.2
15088,LK,Saalekreis,100.0
16073,LK,Saalfeld-Rudolstadt,100.0
10045,LK,Saar-Pfalz-Kreis,100.0
10044,LK,Saarlouis,100.0
14628,LK,Sächsische Schweiz-Osterzgebirge,100.0
3102,SK,Salzgitter,100.0
15089,LK,Salzlandkreis,100.0
10046,LK,Sankt Wendel,100.0
3257,LK,Schaumburg,100.0
1059,LK,Schleswig-Flensburg,100.0
16066,LK,Schmalkalden-Meiningen,100.0
9565,SK,Schwabach,99.1
8127,LK,Schwäbisch Hall,100.0
6634,LK,Schwalm-Eder-Kreis,100.0
